point_time  ,PGEPWR ,SPNETPWR ,COGENKW ,F75406DUP ,FS74409DUP ,F7427DUP ,F7428DUP ,F7431DUP ,F7432DUP ,F7425 ,F7424 ,F7422 ,F7421 ,F1325 ,F71201DUP ,F71101DUP ,F71324_PVEUDUP ,F71202DUP ,F71102DUP ,F71325_PVEUDUP
11/21/2017 00:00:00,    -6.56,     0.00,  2667.26,   937.00, 11284.82,     2.61,     0.00,   285.89,     0.00,     0.00, 10503.77,  1877.41, 12006.66,    36.95,     0.00,   497.13,     0.00,     0.00,     0.00,     0.00
11/21/2017 01:00:00,    -5.22,     0.00,  2590.05,   917.64, 10943.43,    15.53,     0.00,   286.31,     0.00,     0.00, 10527.80,  1871.20, 12228.20,    31.87,     0.00,   461.36,     0.00,     0.00,     0.00,     0.00
11/21/2017 02:00:00,    -4.78,     0.00,  2554.30,   908.52, 10771.79,    19.31,     0.00,   284.69,     0.00,     0.00, 10432.56,  1893.69, 11580.42,    27.09,     0.00,   493.74,     0.00,     0.00,     0.00,     0.00
11/21/2017 03:00:00,    -4.31,     0.00,  2566.45,   911.20, 10819.20,    14.69,     0.00,   222.86,     0.00,     0.00,  8220.63,  1901.93, 12547.92,    22.78,     0.00,   502.34,     0.00,     0.00,     0.00,     0.00
11/21/2017 04:00:00,    -5.26,     0.00,  2499.83,   895.05, 10499.39,    16.24,     0.00,   251.41,     0.00,     0.00,  9235.59,  1859.10, 11254.80,    19.62,     0.00,   480.22,     0.00,     0.00,     0.00,     0.00
11/21/2017 05:00:00,    -4.79,     0.00,  2556.60,   908.92, 10745.14,    19.29,     0.00,   212.65,     0.00,     0.00,  7852.71,  1861.35, 11753.05,    17.78,     0.00,   499.75,     0.00,     0.00,     0.00,     0.00
11/21/2017 06:00:00,    -6.99,     0.00,  2598.66,   919.58, 10863.40,     0.00,     0.00,   181.72,     0.00,     0.00,  6759.62,  1863.41, 11883.16,    17.47,     0.00,   470.27,     0.00,     0.00,     0.00,     0.00
11/21/2017 07:00:00,    -4.71,     0.00,  2664.70,   937.27, 11192.29,    17.52,     0.00,   165.00,     0.00,     0.00,  6028.93,  1862.72, 11388.76,    20.43,     0.00,   427.56,     0.00,     0.00,     0.00,     0.00
11/21/2017 08:00:00,   332.38,     0.00,  2335.34,   856.80, 10037.92,    18.68,     0.00,   207.82,     0.00,     0.00,  7730.75,  1848.39, 11230.60,    26.30,     0.00,   591.99,     0.00,     0.00,     0.00,     0.00
11/21/2017 09:00:00,   669.70,     0.00,  2073.64,   791.31,  8659.22,    17.77,     0.00,   248.54,     0.00,     0.00,  9178.88,  1830.87, 13480.38,    33.82,     0.00,   531.74,     0.00,     0.00,     0.00,     0.00
11/21/2017 10:00:00,   124.03,     0.00,  2887.19,   997.18, 12503.61,    15.14,     0.00,   159.07,     0.00,     0.00,  5664.17,  1854.53, 11397.23,    41.74,     0.00,   519.77,     0.00,     0.00,     0.00,     0.00
11/21/2017 11:00:00,   424.72,     0.00,  2766.51,   967.24, 12253.70,    14.25,     0.00,   134.59,     0.00,     0.00,  4864.61,  1820.58, 11824.93,    48.21,     0.00,   542.19,     0.00,     0.00,     0.00,     0.00
11/21/2017 12:00:00,    24.04,     0.00,  2970.42,  1019.50, 13033.32,     2.66,     0.00,   120.93,     0.00,     0.00,  4320.62,  1784.27, 12411.33,    50.36,     0.00,   531.53,     0.00,     0.00,     0.00,     0.00
11/21/2017 13:00:00,   128.18,     0.00,  2973.45,  1022.73, 13459.61,    18.61,     0.00,   234.19,     0.00,     0.00,  8550.64,  1776.01, 11715.58,    47.60,     0.00,   508.45,     0.00,     0.00,     0.00,     0.00
11/21/2017 14:00:00,    26.16,     0.00,  2883.31,   998.37, 12917.36,    82.53,     0.00,   328.27,     0.00,   969.50, 12206.67,  1790.79, 12746.08,    44.27,     0.00,   519.07,     0.00,     0.00,     0.00,     0.00
11/21/2017 15:00:00,    11.83,     0.00,  2844.78,   988.91, 12691.51,    46.01,     0.00,   390.05,     0.00,  1047.24, 14128.79,  1798.24, 12394.49,    41.79,     0.00,   519.43,     0.00,     0.00,     0.00,     0.00
11/21/2017 16:00:00,    10.77,     0.00,  2739.88,   961.66, 12155.35,     0.00,     0.00,   231.79,     0.00,     0.00,  8377.77,  1803.13, 12668.54,    39.46,     0.00,   519.25,     0.00,     0.00,     0.00,     0.00
11/21/2017 17:00:00,    10.41,     0.00,  2719.96,   955.20, 11974.28,     0.00,     0.00,   214.29,     0.00,     0.00,  7825.52,  1825.63, 12500.86,    38.09,     0.00,   511.41,     0.00,     0.00,     0.00,     0.00
11/21/2017 18:00:00,     7.06,     0.00,  2681.57,   945.51, 11657.54,     0.00,     0.00,   241.87,     0.00,     0.00,  8837.80,  1818.25, 12036.17,    37.83,     0.00,   523.41,     0.00,     0.00,     0.00,     0.00
11/21/2017 19:00:00,     7.18,     0.00,  2650.31,   937.91, 11492.80,     9.42,     0.00,   258.23,     0.00,     0.00,  9428.07,  1818.95, 12069.17,    38.58,     0.00,   522.31,     0.00,     0.00,     0.00,     0.00
11/21/2017 20:00:00,     8.50,     0.00,  2673.40,   943.38, 11524.58,     7.85,     0.00,   257.34,     0.00,     0.00,  9386.97,  1833.81, 12322.28,    39.87,     0.00,   523.26,     0.00,     0.00,     0.00,     0.00
11/21/2017 21:00:00,     4.85,     0.00,  2652.60,   938.56, 11304.15,     2.61,     0.00,   264.06,     0.00,     0.00,  9656.81,  1866.96, 12555.00,    40.44,     0.00,   524.29,     0.00,     0.00,     0.00,     0.00
11/21/2017 22:00:00,     7.09,     0.00,  2694.62,   949.73, 11447.35,    11.11,     0.00,   290.64,     0.00,     0.00, 10592.48,  1855.90, 11625.37,    40.55,     0.00,   523.81,     0.00,     0.00,     0.00,     0.00
11/21/2017 23:00:00,     2.67,     0.00,  2649.38,   938.44, 11205.50,    12.13,     0.00,   296.17,     0.00,     0.00, 10819.31,  1837.24, 12117.08,    39.37,     0.00,   524.63,     0.00,     0.00,     0.00,     0.00
11/22/2017 00:00:00,     3.74,     0.00,  2609.28,   928.20, 10922.33,     7.08,     0.00,   307.49,     0.00,     0.00, 11263.19,  1857.26, 12280.19,    36.25,     0.00,   530.80,     0.00,     0.00,     0.00,     0.00
11/22/2017 01:00:00,     2.27,     0.00,  2564.86,   917.79, 10726.08,    14.16,     0.00,   280.11,     0.00,     0.00, 10192.42,  1864.30, 12936.02,    32.15,     0.00,   540.86,     0.00,     0.00,     0.00,     0.00
11/22/2017 02:00:00,     0.73,     0.00,  2529.93,   908.82, 10504.55,    10.52,     0.00,   273.38,     0.00,     0.00,  9937.15,  1861.58, 12559.57,    27.56,     0.00,   525.44,     0.00,     0.00,     0.00,     0.00
11/22/2017 03:00:00,     0.74,     0.00,  2501.64,   900.99, 10366.63,     1.75,     0.00,   244.24,     0.00,     0.00,  8916.59,  1852.48, 12765.76,    22.99,     0.00,   544.28,     0.00,     0.00,     0.00,     0.00
11/22/2017 04:00:00,     0.13,     0.00,  2485.43,   896.32, 10240.38,    14.04,     0.00,   233.92,     0.00,     0.00,  8559.27,  1838.80, 12246.08,    20.11,     0.00,   533.55,     0.00,     0.00,     0.00,     0.00
11/22/2017 05:00:00,    -0.45,     0.00,  2530.17,   906.99, 10428.34,    12.22,     0.00,   196.84,     0.00,     0.00,  7250.74,  1821.98, 13168.75,    17.75,     0.00,   524.81,     0.00,     0.00,     0.00,     0.00
11/22/2017 06:00:00,    -1.91,     0.00,  2554.58,   914.08, 10660.88,    13.73,     0.00,   205.16,     0.00,     0.00,  7529.26,  1815.00, 11911.36,    17.49,     0.00,   516.11,     0.00,     0.00,     0.00,     0.00
11/22/2017 07:00:00,    -0.85,     0.00,  2589.18,   922.27, 10721.93,    12.16,     0.00,   172.05,     0.00,     0.00,  6133.32,  1818.95, 12339.19,    19.62,     0.00,   548.70,     0.00,     0.00,     0.00,     0.00
11/22/2017 08:00:00,     0.90,     0.00,  2712.45,   953.23, 11617.41,    88.67,     0.00,   155.18,     0.00,   486.59,  5834.77,  1775.82, 12608.57,    24.97,     0.00,   518.58,     0.00,     0.00,     0.00,     0.00
11/22/2017 09:00:00,     6.28,     0.00,  2776.44,   971.54, 12226.82,    25.40,     0.00,   140.79,     0.00,   347.12,  4978.34,  1738.58, 12074.75,    32.69,     0.00,   531.79,     0.00,     0.00,     0.00,     0.00
11/22/2017 10:00:00,     9.64,     0.00,  2793.41,   975.32, 11746.31,     8.51,     0.00,    11.67,     0.00,     0.00,   210.28,  1694.67, 11218.89,    39.91,     0.00,   502.66,     0.00,     0.00,     0.00,     0.00
11/22/2017 11:00:00,    11.10,     0.00,  2850.50,   988.20, 11060.39,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,  1555.59, 11773.19,    46.28,     0.00,   523.14,     0.00,     0.00,     0.00,     0.00
11/22/2017 12:00:00,    12.55,     0.00,  2883.18,   997.19, 11874.36,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,  1472.89, 12140.20,    48.65,     0.00,   497.68,     0.00,     0.00,     0.00,     0.00
11/22/2017 13:00:00,    14.92,     0.00,  2865.69,   993.70, 13014.33,     0.00,     0.00,    18.78,     0.00,     0.00,   425.68,  1487.93, 12138.65,    47.98,     0.00,   524.51,     0.00,     0.00,     0.00,     0.00
11/22/2017 14:00:00,    12.99,     0.00,  2860.88,   992.03, 13042.72,    33.00,     0.00,    37.50,     0.00,     0.00,   928.27,  1441.66, 12285.43,    46.19,     0.00,   524.59,     0.00,     0.00,     0.00,     0.00
11/22/2017 15:00:00,    12.85,     0.00,  2825.60,   983.60, 12675.16,    29.62,     0.00,    63.88,     0.00,     0.00,  1830.31,  1496.31, 12268.79,    43.96,     0.00,   520.27,     0.00,     0.00,     0.00,     0.00
11/22/2017 16:00:00,    11.08,     0.00,  2776.05,   970.43, 12491.43,    47.39,     0.00,    60.64,     0.00,     0.00,  1779.78,  1469.40, 12282.87,    41.90,     0.00,   500.36,     0.00,     0.00,     0.00,     0.00
11/22/2017 17:00:00,    13.03,     0.00,  2729.65,   958.63, 12127.90,    52.29,     0.00,    69.60,     0.00,   130.60,  2168.87,  1476.76, 12294.93,    40.33,     0.00,   512.44,     0.00,     0.00,     0.00,     0.00
11/22/2017 18:00:00,    11.42,     0.00,  2714.64,   954.29, 11991.56,    52.22,     0.00,    75.93,     0.00,   343.95,  2334.78,  1513.15, 12577.18,    40.34,     0.00,   519.33,     0.00,     0.00,     0.00,     0.00
11/22/2017 19:00:00,    11.89,     0.00,  2658.84,   940.67, 11708.39,    35.88,     0.00,   110.91,     0.00,   356.28,  3818.89,  1560.56, 12179.53,    40.58,     0.00,   500.90,     0.00,     0.00,     0.00,     0.00
11/22/2017 20:00:00,     9.27,     0.00,  2673.92,   944.30, 11711.70,    39.03,     0.00,   109.30,     0.00,   374.84,  3906.70,  1610.01, 12212.29,    41.48,     0.00,   519.31,     0.00,     0.00,     0.00,     0.00
11/22/2017 21:00:00,     9.47,     0.00,  2674.90,   943.92, 11601.89,    57.96,     0.00,    95.36,     0.00,   556.28,  3345.08,  1654.92, 12651.62,    41.16,     0.00,   522.29,     0.00,     0.00,     0.00,     0.00
11/22/2017 22:00:00,     6.79,     0.00,  2653.50,   938.97, 11511.75,    41.23,     0.00,   134.98,     0.00,   538.86,  4682.58,  1684.80, 12210.82,    40.90,     0.00,   522.48,     0.00,     0.00,     0.00,     0.00
11/22/2017 23:00:00,     8.87,     0.00,  2611.72,   928.70, 11257.25,    33.51,     0.00,   161.64,     0.00,   347.53,  5857.14,  1721.99, 11948.24,    39.53,     0.00,   530.88,     0.00,     0.00,     0.00,     0.00
11/23/2017 00:00:00,     8.37,     0.00,  2613.36,   929.35, 11206.40,     0.00,     0.00,   134.71,     0.00,     0.00,  4844.19,  1723.70, 11961.00,    36.97,     0.00,   518.25,     0.00,     0.00,     0.00,     0.00
11/23/2017 01:00:00,     4.96,     0.00,  2596.88,   924.64, 11211.98,     5.27,     0.00,   172.19,     0.00,     0.00,  6391.67,  1718.57, 11804.57,    32.33,     0.00,   506.93,     0.00,     0.00,     0.00,     0.00
11/23/2017 02:00:00,     7.43,     0.00,  2518.86,   905.85, 10755.20,     6.87,     0.00,   146.63,     0.00,     0.00,  5225.71,  1710.75, 13345.14,    28.09,     0.00,   489.72,     0.00,     0.00,     0.00,     0.00
11/23/2017 03:00:00,     3.52,     0.00,  2488.79,   898.32, 10617.10,     8.88,     0.00,   162.78,     0.00,     0.00,  5963.05,  1726.63, 11722.23,    24.06,     0.00,   502.12,     0.00,     0.00,     0.00,     0.00
11/23/2017 04:00:00,     8.28,     0.00,  2490.81,   898.02, 10493.45,    11.50,     0.00,   117.96,     0.00,     0.00,  4090.95,  1699.50, 12371.42,    20.97,     0.00,   516.35,     0.00,     0.00,     0.00,     0.00
11/23/2017 05:00:00,     4.58,     0.00,  2568.98,   917.40, 10635.60,     0.00,     0.00,    83.72,     0.00,     0.00,  2872.08,  1682.34, 12493.59,    17.96,     0.00,   481.03,     0.00,     0.00,     0.00,     0.00
11/23/2017 06:00:00,     4.05,     0.00,  2588.14,   922.79, 10568.79,    11.17,     0.00,    80.29,     0.00,     0.00,  2672.33,  1658.00, 12004.56,    16.91,     0.00,   502.71,     0.00,     0.00,     0.00,     0.00
11/23/2017 07:00:00,     0.56,     0.00,  2557.48,   915.90, 10840.51,    11.27,     0.00,    17.82,     0.00,     0.00,   470.47,  1631.44, 11968.15,    17.19,     0.00,   506.28,     0.00,     0.00,     0.00,     0.00
11/23/2017 08:00:00,     4.82,     0.00,  2519.81,   906.58, 10696.05,    16.31,     0.00,    16.94,     0.00,     0.00,   384.65,  1627.56, 12244.67,    18.86,     0.00,   515.67,     0.00,     0.00,     0.00,     0.00
11/23/2017 09:00:00,    10.90,     0.00,  2560.11,   916.96, 11084.30,     0.00,     0.00,    16.02,     0.00,     0.00,   340.66,  1672.55, 11691.68,    25.57,     0.00,   497.00,     0.00,     0.00,     0.00,     0.00
11/23/2017 10:00:00,     9.00,     0.00,  2647.96,   938.85, 11327.43,    37.44,     0.00,    38.86,     0.00,   122.41,  1397.14,  1643.78, 11772.89,    34.57,     0.00,   504.80,     0.00,     0.00,     0.00,     0.00
11/23/2017 11:00:00,    13.10,     0.00,  2800.60,   977.73, 12352.62,    54.82,     0.00,    64.95,     0.00,   351.20,  2048.29,  1592.99, 12237.53,    44.82,     0.00,   514.42,     0.00,     0.00,     0.00,     0.00
11/23/2017 12:00:00,   134.99,     0.00,  2896.10,  1001.66, 12942.58,    55.95,     0.00,    77.57,     0.00,   337.68,  2308.68,  1554.94, 11779.69,    52.93,     0.00,   491.02,     0.00,     0.00,     0.00,     0.00
11/23/2017 13:00:00,   251.91,     0.00,  2876.24,   996.35, 12955.08,    21.79,     0.00,   126.65,     0.00,   294.04,  4521.93,  1483.29, 12299.80,    53.63,     0.00,   511.28,     0.00,     0.00,     0.00,     0.00
11/23/2017 14:00:00,   138.16,     0.00,  2889.75,   999.31, 12993.36,     0.00,     0.00,   187.46,     0.00,     0.00,  6902.18,  1497.18, 12766.98,    50.58,     0.00,   486.78,     0.00,     0.00,     0.00,     0.00
11/23/2017 15:00:00,   168.82,     0.00,  2887.65,   998.75, 12964.06,     8.67,     0.00,   247.23,     0.00,     0.00,  8998.94,  1478.47, 12302.12,    51.74,     0.00,   500.41,     0.00,     0.00,     0.00,     0.00
11/23/2017 16:00:00,   190.97,     0.00,  2882.06,   998.56, 12986.86,     8.50,     0.00,   275.00,     0.00,     0.00,  9997.79,  1463.73, 12065.94,    51.59,     0.00,   500.01,     0.00,     0.00,     0.00,     0.00
11/23/2017 17:00:00,   203.90,     0.00,  2879.09,   997.85, 12998.85,     8.52,     0.00,   273.13,     0.00,     0.00,  9923.35,  1466.28, 12902.47,    50.54,     0.00,   518.04,     0.00,     0.00,     0.00,     0.00
11/23/2017 18:00:00,   102.74,     0.00,  2867.71,   994.59, 12762.73,    10.51,     0.00,   305.16,     0.00,     0.00, 11191.32,  1454.09, 12237.67,    45.69,     0.00,   495.80,     0.00,     0.00,     0.00,     0.00
11/23/2017 19:00:00,    15.51,     0.00,  2732.71,   960.76, 12151.35,     8.08,     0.00,   324.17,     0.00,     0.00, 11852.32,  1454.38, 11953.82,    38.25,     0.00,   511.08,     0.00,     0.00,     0.00,     0.00
11/23/2017 20:00:00,    17.01,     0.00,  2650.55,   939.35, 11661.60,    11.16,     0.00,   307.20,     0.00,     0.00, 11195.76,  1442.35, 12642.23,    36.20,     0.00,   510.93,     0.00,     0.00,     0.00,     0.00
11/23/2017 21:00:00,    17.09,     0.00,  2658.50,   941.78, 11702.12,     9.63,     0.00,   301.20,     0.00,     0.00, 10927.65,  1435.59, 12218.17,    35.46,     0.00,   512.42,     0.00,     0.00,     0.00,     0.00
11/23/2017 22:00:00,    15.19,     0.00,  2617.71,   931.87, 11562.77,    11.61,     0.00,   308.36,     0.00,     0.00, 11252.49,  1400.92, 11857.88,    35.55,     0.00,   511.61,     0.00,     0.00,     0.00,     0.00
11/23/2017 23:00:00,    17.41,     0.00,  2596.51,   926.54, 11459.89,    12.06,     0.00,   299.48,     0.00,     0.00, 10843.58,  1374.95, 12235.23,    34.44,     0.00,   511.24,     0.00,     0.00,     0.00,     0.00
11/24/2017 00:00:00,    16.74,     0.00,  2653.78,   940.26, 11658.58,    12.02,     0.00,   274.83,     0.00,     0.00,  9934.33,  1352.07, 13286.17,    33.04,     0.00,   513.81,     0.00,     0.00,     0.00,     0.00
11/24/2017 01:00:00,    17.05,     0.00,  2553.95,   915.47, 11161.43,    15.69,     0.00,   295.39,     0.00,     0.00, 10804.66,  1354.82, 13152.97,    30.22,     0.00,   488.56,     0.00,     0.00,     0.00,     0.00
11/24/2017 02:00:00,    14.42,     0.00,  2507.92,   903.27, 10919.05,    18.42,     0.00,   309.66,     0.00,     0.00, 11315.58,  1357.57, 12260.63,    26.50,     0.00,   513.94,     0.00,     0.00,     0.00,     0.00
11/24/2017 03:00:00,    14.52,     0.00,  2536.56,   910.73, 11021.37,    11.87,     0.00,   237.41,     0.00,     0.00,  8553.21,  1350.85, 13304.75,    22.79,     0.00,   515.40,     0.00,     0.00,     0.00,     0.00
11/24/2017 04:00:00,    15.11,     0.00,  2475.24,   895.12, 10697.19,     9.41,     0.00,   219.04,     0.00,     0.00,  7967.73,  1377.13, 12524.09,    19.95,     0.00,   492.68,     0.00,     0.00,     0.00,     0.00
11/24/2017 05:00:00,    13.57,     0.00,  2526.76,   907.17, 10830.33,    11.94,     0.00,   202.71,     0.00,     0.00,  7404.10,  1422.08, 12633.34,    18.24,     0.00,   513.79,     0.00,     0.00,     0.00,     0.00
11/24/2017 06:00:00,     9.48,     0.00,  2686.51,   947.41, 11475.22,    11.94,     0.00,   146.40,     0.00,     0.00,  5190.71,  1460.48, 12894.42,    18.86,     0.00,   517.22,     0.00,     0.00,     0.00,     0.00
11/24/2017 07:00:00,     7.04,     0.00,  2558.31,   915.36, 11064.96,    10.73,     0.00,   175.64,     0.00,     0.00,  6512.83,  1453.14, 11892.76,    20.56,     0.00,   514.19,     0.00,     0.00,     0.00,     0.00
11/24/2017 08:00:00,     7.20,     0.00,  2544.02,   911.36, 10938.26,    10.76,     0.00,   168.40,     0.00,     0.00,  6037.03,  1453.69, 11705.96,    19.99,     0.00,   543.26,     0.00,     0.00,     0.00,     0.00
11/24/2017 09:00:00,    10.16,     0.00,  2577.12,   921.00, 11268.38,     1.80,     0.00,    73.57,     0.00,     0.00,  2537.41,  1455.51, 13562.70,    24.53,     0.00,   551.64,     0.00,     0.00,     0.00,     0.00
11/24/2017 10:00:00,    13.56,     0.00,  2643.36,   936.86, 11711.46,    14.49,     0.00,    82.88,     0.00,     0.00,  2768.73,  1458.91, 12642.56,    32.79,     0.00,   429.73,     0.00,     0.00,     0.00,     0.00
11/24/2017 11:00:00,    14.31,     0.00,  2755.00,   965.21, 12357.04,    16.86,     0.00,    65.37,     0.00,     0.00,  2009.98,  1437.62, 12766.98,    41.85,     0.00,   455.70,     0.00,     0.00,     0.00,     0.00
11/24/2017 12:00:00,    13.96,     0.00,  2817.31,   981.52, 12746.65,    14.42,     0.00,    96.34,     0.00,     0.00,  3133.24,  1509.49, 12757.63,    47.01,     0.00,   456.93,     0.00,     0.00,     0.00,     0.00
11/24/2017 13:00:00,    14.72,     0.00,  2831.26,   984.76, 12968.30,     0.00,     0.00,   133.52,     0.00,     0.00,  4752.96,  1556.37, 12755.44,    47.92,     0.00,   447.11,     0.00,     0.00,     0.00,     0.00
11/24/2017 14:00:00,    18.07,     0.00,  2817.37,   981.70, 12903.19,    12.87,     0.00,   189.09,     0.00,     0.00,  6938.31,  1632.74, 12950.27,    47.94,     0.00,   472.88,     0.00,     0.00,     0.00,     0.00
