point_time  ,PGEPWR ,SPNETPWR ,COGENKW ,F75406DUP ,FS74409DUP ,F7427DUP ,F7428DUP ,F7431DUP ,F7432DUP ,F7425 ,F7424 ,F7422 ,F7421 ,F1325 ,F71201DUP ,F71101DUP ,F71324_PVEUDUP ,F71202DUP ,F71102DUP ,F71325_PVEUDUP
12/01/2017 00:00:00,    36.78,     0.00,  2803.56,   975.52, 11673.13,    31.23,     0.00,    74.61,     0.00,   359.98,  2242.79,  1690.40, 11605.00,    33.82,     0.00,   440.35,     0.00,     0.00,     0.00,     0.00
12/02/2017 00:00:00,    -5.16,     0.00,  2724.68,   954.80, 11133.67,    75.31,     0.00,    22.79,     0.00,  1835.69,   636.49,  1741.76, 13069.74,    34.01,     0.00,   415.07,     0.00,     0.00,     0.00,     0.00
12/03/2017 00:00:00,     9.99,     0.00,  2642.64,   933.42, 10968.81,   168.14,     0.00,     3.69,     0.00,  4642.46,     0.00,  1819.17, 12286.38,    34.28,     0.00,   365.97,     0.00,     0.00,     0.00,     0.00
12/04/2017 00:00:00,     2.31,     0.00,  2694.87,   946.46, 10651.26,   191.82,     0.00,     3.80,     0.00,  5542.19,     0.00,  1771.29, 11805.38,    33.66,     0.00,   384.25,     0.00,     0.00,     0.00,     0.00
12/05/2017 00:00:00,    10.39,     0.00,  2710.71,   950.43, 11228.20,   135.52,     0.00,     3.73,     0.00,  3618.27,     0.00,  1650.24, 12187.24,    33.89,     0.00,   434.03,     0.00,     0.00,     0.00,     0.00
12/06/2017 00:00:00,    -0.91,     0.00,  2731.48,   955.19, 11168.65,   122.33,     0.00,     3.46,     0.00,  3179.52,     0.00,  1678.91, 12663.58,    33.39,     0.00,   474.22,     0.00,     0.00,     0.00,     0.00
12/07/2017 00:00:00,     1.15,     0.00,  2741.39,   958.01, 11140.74,   110.87,     0.00,     3.70,     0.00,  2915.78,     0.00,  1716.04, 12695.07,    33.28,     0.00,   444.09,     0.00,     0.00,     0.00,     0.00
12/08/2017 00:00:00,    76.08,     0.00,  2543.09,   935.06, 10880.96,   136.98,     0.00,     3.43,     0.00,  3737.07,     0.00,  1677.77, 12513.39,    32.84,     0.00,   391.52,     0.00,     0.00,     0.00,     0.00
12/09/2017 00:00:00,    -9.13,     0.00,  2676.76,   942.94, 11080.75,   181.45,     0.00,     3.60,     0.00,  5126.82,     0.00,  1645.97, 11646.04,    33.61,     0.00,   353.73,     0.00,     0.00,     0.00,     0.00
12/10/2017 00:00:00,    72.30,     0.00,  2602.81,   924.90, 10779.56,   217.19,     0.00,     4.22,     0.00,  6275.90,     0.47,  1600.87, 11688.50,    33.95,     0.00,   362.89,     0.00,     0.00,     0.00,     0.00
12/11/2017 00:00:00,    37.86,     0.00,  2710.88,   952.00, 11298.78,   146.43,     0.00,     3.32,     0.00,  3980.21,     0.00,  1584.78, 12714.52,    33.17,     0.00,   442.93,     0.00,     0.00,     0.00,     0.00
12/12/2017 00:00:00,    -9.14,     0.00,  2732.24,   956.88, 11140.27,    98.28,     0.00,    26.56,     0.00,  2431.99,   786.09,  1595.97, 11569.28,    32.71,    92.14,   289.53,     0.00,     0.00,     0.00,     0.00
12/13/2017 00:00:00,    64.01,     0.00,  2800.70,   974.11, 11582.02,    71.41,     0.00,     3.02,     0.00,  1688.99,     0.00,  1616.77, 13516.26,    33.44,     0.00,   474.20,     0.00,     0.00,     0.00,     0.00
12/14/2017 00:00:00,   165.67,     0.00,  2873.72,   992.70, 12137.35,   120.22,    29.87,    61.08,     0.00,  3907.84,  1977.10,  1560.34, 11081.51,    35.72,   120.77,   219.52,     0.00,     0.03,     0.00,     0.00
12/15/2017 00:00:00,   174.40,     0.00,  2893.68,   998.13, 12225.87,   105.32,     0.00,     3.54,     0.00,  2530.56,     0.00,   855.40, 12151.27,    34.72,     0.00,   305.17,     0.00,     5.92,     0.00,     0.00
12/16/2017 00:00:00,    61.50,     0.00,  2875.66,   992.69, 12473.64,   133.48,     0.00,     3.46,     0.00,  3386.58,     0.00,   230.34, 12074.85,    35.92,     0.00,   286.17,     0.00,    51.85,     0.00,     0.00
12/17/2017 00:00:00,  1139.01,   507.62,  1269.97,   441.32,  5397.17,   293.55,     0.00,   154.61,     0.00,  8527.67,  5166.28,    35.08, 12032.91,    35.38,     0.00,   322.55,     0.00,    59.23,     0.00,     0.00
12/18/2017 00:00:00,  1143.02,     0.00,  1796.00,   625.11,  6408.22,   274.27,     0.00,   109.71,     0.00,  7996.08,  3685.04,    27.07, 11955.72,    35.06,     0.00,   370.34,     0.00,    30.95,     0.00,     0.00
12/19/2017 00:00:00,    90.38,     0.00,  2871.53,   993.72, 12134.53,   127.65,     0.00,     3.44,     0.00,  3457.35,     0.00,    25.08, 11952.39,    34.27,     0.00,   357.18,     0.00,    62.61,     0.00,     0.00
12/20/2017 00:00:00,    93.59,     0.00,  2874.33,   993.92, 12092.88,    71.94,     0.00,     3.04,     0.00,  1829.40,     0.00,  2414.03, 11814.11,    35.23,     0.00,   338.69,     0.00,   242.22,     0.00,     0.00
12/21/2017 00:00:00,    15.14,     0.00,  2985.34,  1020.88, 11624.45,    41.29,     0.00,     3.06,     0.00,   872.39,     0.00,  4972.75, 11318.95,    35.73,     0.00,   325.25,     0.00,   295.70,     0.00,     0.00
12/22/2017 00:00:00,    -4.62,     0.00,  2989.03,  1021.65, 11154.24,    14.21,     0.00,    68.08,     0.00,   182.63,  2181.64,  3838.72, 11519.10,    35.51,     0.00,   368.61,     0.00,   159.17,     0.00,     0.00
12/23/2017 00:00:00,     1.40,     0.00,  2840.96,   986.49, 11935.92,     8.77,     0.00,   185.96,     0.00,     0.00,  6153.46,     0.00, 11937.23,    35.80,     0.00,   406.73,     0.00,     0.00,     0.00,     0.00
12/24/2017 00:00:00,     4.14,     0.00,  2870.87,   993.69, 12105.29,     8.97,     0.00,   184.53,     0.00,     0.00,  6133.70,     0.00, 12578.47,    36.53,     0.00,   428.94,     0.00,     0.00,     0.00,     0.00
12/25/2017 00:00:00,    -9.60,     0.00,  2815.01,   979.83, 11843.98,     8.73,     0.00,   139.62,     0.00,     0.00,  4563.99,   343.92, 13408.80,    33.04,     0.00,   485.23,     0.00,     0.00,     0.00,     0.00
12/26/2017 00:00:00,    36.89,     0.00,  2793.51,   975.53, 11657.32,     8.27,     0.00,   141.13,     0.00,     0.00,  4640.77,   546.40, 13794.71,    34.16,     0.00,   543.79,     0.00,     0.00,     0.00,     0.00
12/27/2017 00:00:00,    -0.74,     0.00,  2874.61,   996.34, 11966.70,     8.69,     0.00,   121.45,     0.00,     0.00,  3971.63,   566.15, 13434.11,    33.83,     0.00,   525.83,     0.00,     0.00,     0.00,     0.00
12/28/2017 00:00:00,     0.27,     0.00,  2857.73,   991.71, 11564.27,     8.33,     0.00,    81.98,     0.00,     0.00,  2583.45,   588.63, 14235.53,    33.69,     0.00,   552.13,     0.00,     0.00,     0.00,     0.00
12/29/2017 00:00:00,     2.50,     0.00,  2851.48,   990.34, 11634.71,     8.64,     0.00,    79.80,     0.00,     0.00,  2509.60,   547.94, 14116.25,    33.11,     0.00,   500.80,     0.00,     0.00,     0.00,     0.00
12/30/2017 00:00:00,    -5.70,     0.00,  2812.53,   981.01, 11345.48,     8.55,     0.00,    97.70,     0.00,     0.00,  3142.85,   538.54, 13882.16,    33.34,     0.00,   551.00,     0.00,     0.00,     0.00,     0.00
12/31/2017 00:00:00,    -7.65,     0.00,  2761.74,   969.30, 11364.05,     8.67,     0.00,   110.48,     0.00,     0.00,  3566.13,   658.34, 13897.69,    33.44,     0.00,   569.20,     0.00,     0.00,     0.00,     0.00
