point_time  ,PGEPWR ,SPNETPWR ,COGENKW ,F75406DUP ,FS74409DUP ,F7427DUP ,F7428DUP ,F7431DUP ,F7432DUP ,F7425 ,F7424 ,F7422 ,F7421 ,F1325 ,F71201DUP ,F71101DUP ,F71324_PVEUDUP ,F71202DUP ,F71102DUP ,F71325_PVEUDUP
12/01/2017 00:00:00,   -10.16,     0.00,  2736.74,   957.42, 11068.90,   109.98,     0.00,   128.72,     0.00,  2227.11,  4109.69,  1682.58, 10833.37,    37.55,     0.00,   440.38,     0.00,     0.00,     0.00,     0.00
12/01/2017 01:00:00,   -12.78,     0.00,  2689.84,   946.21, 10763.82,    83.90,     0.00,   144.06,     0.00,  1762.53,  4552.65,  1687.75, 10896.45,    32.16,     0.00,   371.15,     0.00,     0.00,     0.00,     0.00
12/01/2017 02:00:00,   -13.63,     0.00,  2634.50,   933.01, 10392.35,   131.31,     0.00,   172.28,     0.00,  2575.54,  5303.80,  1691.88,  8922.90,    26.62,     0.00,   485.76,     0.00,     0.00,     0.00,     0.00
12/01/2017 03:00:00,   -14.36,     0.00,  2609.20,   926.48, 10297.58,    62.16,     0.00,   127.93,     0.00,  1302.14,  3899.22,  1705.27, 10798.75,    22.13,     0.00,   462.37,     0.00,     0.00,     0.00,     0.00
12/01/2017 04:00:00,   -14.27,     0.00,  2582.71,   919.88, 10164.64,    42.17,     0.00,   135.45,     0.00,   485.67,  4261.60,  1724.08, 10483.90,    18.63,     0.00,   438.22,     0.00,     0.00,     0.00,     0.00
12/01/2017 05:00:00,     4.52,     0.00,  2686.30,   945.09, 10543.04,    35.39,     0.00,   122.90,     0.00,   264.96,  3545.68,  1722.28, 10579.65,    16.72,     0.00,   499.50,     0.00,     0.00,     0.00,     0.00
12/01/2017 06:00:00,    -3.07,     0.00,  2691.44,   947.51, 10752.27,    12.09,     0.00,   108.58,     0.00,     0.00,  3310.89,  1748.52, 10679.14,    20.04,     0.00,   400.00,     0.00,     0.00,     0.00,     0.00
12/01/2017 07:00:00,   -15.19,     0.00,  2678.56,   944.00, 10616.00,    14.00,     0.00,    81.61,     0.00,     0.00,  2481.68,  1739.54, 10933.77,    22.33,     0.00,   434.02,     0.00,     0.00,     0.00,     0.00
12/01/2017 08:00:00,   -14.88,     0.00,  2744.39,   960.63, 10955.83,    30.19,     0.00,    78.81,     0.00,    21.68,  2213.13,  1745.74,  9958.11,    27.85,     0.00,   410.34,     0.00,     0.00,     0.00,     0.00
12/01/2017 09:00:00,    29.60,     0.00,  2896.91,   999.20, 11830.94,     0.00,     0.00,    16.27,     0.00,     0.00,   426.41,  1739.54, 10491.56,    35.16,     0.00,   441.83,     0.00,     0.00,     0.00,     0.00
12/01/2017 10:00:00,   134.71,     0.00,  2893.13,   998.15, 12062.28,     6.83,     0.00,    21.67,     0.00,     0.00,   420.80,  1690.60, 10909.77,    42.07,     0.00,   427.75,     0.00,     0.00,     0.00,     0.00
